,name,address,postcode,latitude,longitude
0,Autohaus Ristow,"Soltauer Straße 10, 13509 Berlin",13509,52.57974,13.30379
1,Autohaus Astor,"Karolinenstraße 1F, 13507 Berlin",13507,52.59228,13.28224
4,Autohaus Dinnebier,"Holzhauser Straße 10-12, 13509 Berlin",13509,52.57719,13.29661
5,Autohaus Haupt,"Ruppiner Chaussee 377, 13503 Berlin",13503,52.62336,13.23187
6,Autohaus Dinnebier,"Holzhauser Straße 10, 13509 Berlin",13509,52.57691,13.29654
9,Autohaus Dinnebier,"Oraniendamm 49-50, 13469 Berlin",13469,52.61032,13.31971
11,Autohaus Schneider,"Wittestraße 10-15, 13509 Berlin",13509,52.5773,13.3121
14,Autohaus Phillip,"Wittestraße 26A, 13509 Berlin",13509,52.57983,13.29874
15,Autohaus Zacharias,"Nordlichtstraße 12, 13405 Berlin",13405,52.56364,13.32419
16,Autohaus Dinnebier,"Holzhauser Straße 10, 13509 Berlin",13509,52.57691,13.29654
18,Autohaus Dinnebier Reinickendorf,"Holzhauser Straße 164, 13509 Berlin",13509,52.58614,13.31583
19,Atf Autohaus Frohnau,"Hohefeldstraße 31-33, 13467 Berlin",13467,52.62312,13.3029
0,Autohaus Residenzstrasse,"Residenzstraße 63-64, 13409 Berlin",13409,52.56154,13.3673
1,Heinersdorf Autohaus,"Romain-Rolland-Straße 67-69, 13089 Berlin",13089,52.56858,13.43889
2,Autohaus Roelckestrasse,"Roelckestraße 107, 13088 Berlin",13088,52.56397,13.46041
3,Autohaus Kramm,"Hauptstraße 24, 13127 Berlin",13127,52.60893,13.43355
4,Autohaus Wulf,"Alt-Blankenburg 71B, 13129 Berlin",13129,52.59447,13.46121
5,Autohaus Nordost Berlin,"Hansastraße 219, 13051 Berlin",13051,52.56003,13.49546
6,Autohaus Vogel,"Ollenhauerstraße 35, 13403 Berlin",13403,52.57045,13.33064
7,Autohaus Grzenkowski,"Hauptstraße 16, 13127 Berlin",13127,52.60604,13.43275
8,Autohaus King,"Rennbahnstraße 80, 13086 Berlin",13086,52.56372,13.45077
9,Autohaus Heinze,"Alt-Karow 61, 13125 Berlin",13125,52.6095,13.48127
10,Autohaus Wulf,"Alt-Blankenburg 71B, 13129 Berlin",13129,52.59447,13.46121
11,Autohaus Müller,"Dorfstraße 14, 13059 Berlin",13059,52.5722,13.52096
12,Autohaus Koschnick,"Gehringstraße 17, 13088 Berlin",13088,52.56255,13.46423
13,Autohaus Koschnick,"Gehringstraße 17-18, 13088 Berlin",13088,52.56247,13.46229
14,Autohaus Landtag,"Eichhorster Weg 87, 13435 Berlin",13435,52.60211,13.3367
15,Autohaus Adnan,"Ollenhauerstraße 15-16, 13403 Berlin",13403,52.56655,13.32911
16,Autohaus Dinnebier,"Ollenhauerstraße 15, 13403 Berlin",13403,52.56675,13.32934
17,Autohaus Hinz,"Hauptstraße 167, 13158 Berlin",13158,52.6018,13.38005
18,Autohaus Koenig,"Schönerlinder Straße 1, 13127 Berlin",13127,52.61276,13.43305
19,Autohaus Koschnick,"Gehringstraße 17, 13088 Berlin",13088,52.56255,13.46423
20,Autohaus Kramm,"Hauptstraße 24, 13127 Berlin",13127,52.60893,13.43355
21,Fiat Autohaus,"Ollenhauerstraße, 13403 Berlin",13403,52.57146,13.32985
22,Autohaus Koenig,"Schönerlinder Straße 1, 13127 Berlin",13127,52.61276,13.43305
23,Autohaus Nemitz,"Kreuzstraße 11, 13187 Berlin",13187,52.56784,13.39745
24,Autohaus A114,"Pasewalker Straße 114, 13127 Berlin",13127,52.58487,13.4293
25,Autohaus Lange,"Provinzstraße 16, 13409 Berlin",13409,52.56242,13.37817
26,Autohaus Löhr,"Tollerstraße 29, 13158 Berlin",13158,52.58543,13.36899
27,Autohaus Kramm,"Hauptstraße 24, 13127 Berlin",13127,52.60893,13.43355
28,Opel Autohaus Hinz,"Hauptstraße 167, 13158 Berlin",13158,52.6018,13.38005
29,Ahk Autohaus Koppe,"Schönerlinder Straße 1, 13127 Berlin",13127,52.61276,13.43305
30,Autohaus Am Nordring,"Hauptstraße 71, 13127 Berlin",13127,52.60343,13.43194
31,Autohaus Günter Müller,"Berliner Straße 17, 13127 Berlin",13127,52.59997,13.43176
32,Bernd Quinque Autohaus,"Berliner Straße 29, 13127 Berlin",13127,52.60186,13.43179
33,Autohaus Jörg Wursach,"Schildower Straße 11, 13159 Berlin",13159,52.61992,13.38853
34,Bernd Quinque Autohaus,"Berliner Straße 29, 13127 Berlin",13127,52.60186,13.43179
35,Bernd Quinque Autohaus,"Berliner Straße 29, 13127 Berlin",13127,52.60186,13.43179
