,name,address,postcode,latitude,longitude
1,Euromobil Autovermietung,"Wittestraße 28, 13509 Berlin",13509,52.5815,13.29301
2,Mietwagen in Berlin Tegel Abholen Buchbinder,"E26, 13405 Berlin",13405,52.55942,13.30962
4,Robben & Wientjes,"Scharnweberstraße 23, 13405 Berlin",13405,52.56491,13.3258
7,Mercedes-Benz Niederlassung Berlin,"Holzhauser Straße 11, 13509 Berlin",13509,52.5775,13.29631
8,Volkswagen Automobile Berlin,"Berliner Straße 68, 13507 Berlin",13507,52.58207,13.29081
9,Autovermietung Und Hausmeisterservice,"Eichborndamm 6, 13403 Berlin",13403,52.56864,13.31241
0,Autohaus Wulf,"Alt-Blankenburg 71B, 13129 Berlin",13129,52.59447,13.46121
1,Autohaus Grzenkowski,"Hauptstraße 16, 13127 Berlin",13127,52.60604,13.43275
2,Starcar,"Prenzlauer Promenade 43, 13089 Berlin",13089,52.56028,13.42919
3,SEAT Deutschland Niederlassung Berlin,"Nachtalbenweg 61, 13088 Berlin",13088,52.56628,13.47039
4,Hans Laatzig Automobile,"Eichhorster Weg 91, 13435 Berlin",13435,52.60294,13.3349
5,SEAT Deutschland Niederlassung,"Prenzlauer Promenade 46, 13089 Berlin",13089,52.5616,13.42822
6,Sixt Autovermietung Berlin Nord/Reinickendorf,"Scharnweberstraße 140, 13405 Berlin",13405,52.56273,13.32979
7,Enterprise Rent-a-Car,"Kapweg 3, 13405 Berlin",13405,52.56216,13.32974
8,RENT a Vision,"Provinzstraße 24, 13409 Berlin",13409,52.56399,13.37819
9,Europcar Berlin,"Kapweg 4, 13405 Berlin",13405,52.56213,13.33031
10,Hertz,13156 Berlin,13156,52.58458,13.41805
11,Autohaus Thomas Kapinsky,"Blankenburger Straße 95, 13089 Berlin",13089,52.57327,13.44399
12,VW Fs Rent-a-Car-Berlin Pankow,"Berliner Straße 100, 13189 Berlin",13189,52.56207,13.41337
13,Autovermietung Von Oldtimern Und Fahrzeughandel,"Buchholzer Straße 36-43, 13156 Berlin",13156,52.59139,13.41937
0,Enterprise Rent-a-Car,"Heilbronner Straße 1, 10711 Berlin",10711,52.50008,13.29097
1,Autohaus Berolina,"Brunsbütteler Damm 50, 13581 Berlin",13581,52.53458,13.18933
2,Friedrich Thiele,"Sophie-Charlotten-Straße 7, 14059 Berlin",14059,52.52169,13.28483
3,Sixt Autovermietung,"Huttenstraße 50, 10553 Berlin",10553,52.52771,13.3217
4,Europcar Berlin Tegel,13405 Berlin,13405,52.55232,13.29316
5,Europa Service,"Am Juliusturm 2-6, 13599 Berlin",13599,52.5388,13.23102
6,Audi Zentrum Berlin-Spandau,"Brunsbütteler Damm 40, 13581 Berlin",13581,52.53443,13.19209
7,Avis Klosterstraße,"Klosterstraße 31, 13581 Berlin",13581,52.53126,13.19725
8,Avis Deutschland,"Brunsbütteler Damm 82, 13581 Berlin",13581,52.53439,13.18587
