,name,address,postcode,latitude,longitude
1,Berlin Ruppiner Chaussee.,"Ruppiner Chaussee 339, 13503 Berlin",13503,52.62073,13.23623
2,Aral,"Berliner Straße 67, 13507 Berlin",13507,52.58157,13.29116
3,Pro D.Systemdienstleistungen,"Berliner Straße 68, 13507 Berlin",13507,52.58207,13.29081
5,Shell,"Scharnweberstraße 79-81, 13405 Berlin",13405,52.56776,13.30979
6,Berlin Hermsdorfer Damm 141-143,"Hermsdorfer Damm 141-143, 13467 Berlin",13467,52.61608,13.30063
8,Tiger Steam Wash,"Reiherallee 58A, 13503 Berlin",13503,52.60579,13.23999
10,Max AutoWasch,"Holzhauser Straße 36, 13509 Berlin",13509,52.57842,13.29909
11,Car Royal Pflege-Service,"Kurt-Schumacher-Damm 36, 13405 Berlin",13405,52.56116,13.32497
12,Jost Car Clean Service,"Jacobsenweg 51, 13509 Berlin",13509,52.58216,13.29594
13,Berlin Scharnweberstr79/81.,"Scharnweberstraße 79/81, 13405 Berlin",13405,52.56777,13.3098
14,Aral,"Berliner Straße 24, 13507 Berlin",13507,52.58435,13.28788
0,Aral,"Pasewalker Straße 110, 13127 Berlin",13127,52.58612,13.43021
1,Car Royal Pflege-Service,"Kapweg 2, 13405 Berlin",13405,52.56221,13.32927
2,Berlin Berliner Str. 32.,"Berliner Straße 32, 13127 Berlin",13127,52.6011,13.43243
3,AGIP PANKOW,"Dietzgenstraße 127, 13158 Berlin",13158,52.59449,13.40245
4,Aral,"Roedernallee 179, 13407 Berlin",13407,52.57893,13.3464
5,Aral,"Mühlenstraße 26, 13187 Berlin",13187,52.56383,13.40783
7,R Und H Kfz- Pflegecenter,"Hauptstraße 24, 13127 Berlin",13127,52.60893,13.43355
8,Shell,"Karower Damm 35, 13129 Berlin",13129,52.59673,13.46629
10,Berlin Oranienburger Str,"Oranienburger Straße 61, 13437 Berlin",13437,52.58988,13.33464
11,Aral,"Residenzstraße 29, 13409 Berlin",13409,52.56821,13.3613
12,Berlin Ollenhauerstr.101.,"Ollenhauerstraße 101, 13403 Berlin",13403,52.57123,13.32903
13,Berlin Damerowstrasse.,"Damerowstraße 22/23, 13187 Berlin",13187,52.57286,13.42118
15,Erwin Smukowski,"Wittenauer Straße 88, 13435 Berlin",13435,52.60512,13.33949
16,Cosy Wash,"Flottenstraße 4, 13407 Berlin",13407,52.57879,13.34791
17,Total Wash,"Am Feuchten Winkel 11, 13129 Berlin",13129,52.58209,13.43257
18,Service Pflegecenter Berlin,"Eichhorster Weg 93, 13435 Berlin",13435,52.60316,13.33457
19,Cosy-Wasch Autoservice Betriebe,"Roedernallee, 13407 Berlin",13407,52.58181,13.34474
0,Car Royal Pflege-Service,"Brunsbütteler Damm 87-89, 13581 Berlin",13581,52.53415,13.18454
1,Aral,"Messedamm 6, 14057 Berlin",14057,52.50837,13.28064
2,Cosy-Wasch Autoservice Betriebe,"Messedamm 8-10, 14057 Berlin",14057,52.50671,13.28033
3,Cosy-Wasch Autoservice Betriebe,"Nonnendammallee 42-43, 13599 Berlin",13599,52.53809,13.24632
4,Aral,"Blissestraße 21, 10713 Berlin",10713,52.48439,13.32056
5,Aral,"Heerstraße 136, 14055 Berlin",14055,52.50721,13.22761
6,Autoreinigung Berlin - Car Wellness Berlin,"Mecklenburgische Straße 76, 10713 Berlin",10713,52.4798,13.31266
