Postcode,City,Country,num_carwash,num_carretailer,num_carrental,num_gasstation
81248,muenchen,Deutschland,0,0,0,0
60315,frankfurt am main,Deutschland,0,0,0,0
60312,frankfurt am main,Deutschland,0,0,0,0
60306,frankfurt am main,Deutschland,0,0,0,0
60310,frankfurt am main,Deutschland,0,0,0,0
22089,hamburg,Deutschland,0,0,1,3
20255,hamburg,Deutschland,1,0,0,0
22559,hamburg,Deutschland,0,0,0,2
22047,hamburg,Deutschland,3,9,7,4
22041,hamburg,Deutschland,2,3,1,4
22049,hamburg,Deutschland,2,1,0,2
22305,hamburg,Deutschland,2,1,1,6
22309,hamburg,Deutschland,2,2,0,5
22307,hamburg,Deutschland,0,0,1,0
22081,hamburg,Deutschland,1,2,0,1
22083,hamburg,Deutschland,1,0,0,0
22297,hamburg,Deutschland,0,0,0,3
22303,hamburg,Deutschland,0,2,2,1
22299,hamburg,Deutschland,0,0,1,0
22301,hamburg,Deutschland,0,0,0,0
22085,hamburg,Deutschland,2,0,0,3
22087,hamburg,Deutschland,1,1,1,3
22523,hamburg,Deutschland,2,4,1,2
22527,hamburg,Deutschland,0,0,0,0
22547,hamburg,Deutschland,0,4,0,2
22525,hamburg,Deutschland,6,3,3,11
20257,hamburg,Deutschland,0,0,0,0
20259,hamburg,Deutschland,2,1,2,2
22529,hamburg,Deutschland,3,0,7,4
22607,hamburg,Deutschland,1,0,0,3
22761,hamburg,Deutschland,0,1,6,10
22769,hamburg,Deutschland,1,0,3,1
22767,hamburg,Deutschland,3,0,2,3
22765,hamburg,Deutschland,0,0,2,0
22045,hamburg,Deutschland,0,5,3,5
22549,hamburg,Deutschland,1,0,3,3
22395,hamburg,Deutschland,0,2,0,1
22393,hamburg,Deutschland,2,0,2,3
22391,hamburg,Deutschland,0,2,2,2
22179,hamburg,Deutschland,1,0,0,0
22177,hamburg,Deutschland,0,0,1,3
22119,hamburg,Deutschland,3,1,2,4
22175,hamburg,Deutschland,2,0,0,2
22419,hamburg,Deutschland,1,3,2,1
22117,hamburg,Deutschland,0,0,0,0
22115,hamburg,Deutschland,0,0,0,1
22111,hamburg,Deutschland,1,2,2,3
22417,hamburg,Deutschland,0,0,1,1
22043,hamburg,Deutschland,2,7,2,3
22459,hamburg,Deutschland,3,2,0,0
22457,hamburg,Deutschland,2,2,2,4
22455,hamburg,Deutschland,2,0,0,2
22453,hamburg,Deutschland,0,0,2,4
22415,hamburg,Deutschland,1,0,0,6
22399,hamburg,Deutschland,1,5,1,3
22339,hamburg,Deutschland,0,1,2,2
22337,hamburg,Deutschland,0,0,0,0
22335,hamburg,Deutschland,2,0,20,6
22763,hamburg,Deutschland,1,0,1,3
22609,hamburg,Deutschland,0,0,0,1
22605,hamburg,Deutschland,0,0,0,1
22589,hamburg,Deutschland,1,0,0,1
22587,hamburg,Deutschland,2,0,0,2
22159,hamburg,Deutschland,0,1,0,4
22149,hamburg,Deutschland,1,1,0,4
22147,hamburg,Deutschland,1,0,0,2
22145,hamburg,Deutschland,2,2,0,11
22143,hamburg,Deutschland,3,2,1,4
20251,hamburg,Deutschland,1,0,0,1
65934,frankfurt am main,Deutschland,1,1,0,2
60320,frankfurt am main,Deutschland,2,1,0,3
60327,frankfurt am main,Deutschland,0,5,3,0
50997,koeln,Deutschland,3,0,0,3
50968,koeln,Deutschland,0,9,4,5
60596,frankfurt am main,Deutschland,0,0,0,3
60529,frankfurt am main,Deutschland,0,2,0,4
20253,hamburg,Deutschland,0,3,1,1
20249,hamburg,Deutschland,0,0,0,0
20535,hamburg,Deutschland,4,2,0,4
22113,hamburg,Deutschland,7,1,2,9
22359,hamburg,Deutschland,2,3,1,4
22397,hamburg,Deutschland,0,1,0,1
51107,koeln,Deutschland,1,5,1,6
20357,hamburg,Deutschland,1,0,0,0
51065,koeln,Deutschland,1,1,2,3
51143,koeln,Deutschland,0,0,0,1
51145,koeln,Deutschland,2,10,2,4
51067,koeln,Deutschland,1,3,1,2
51069,koeln,Deutschland,1,8,1,6
51147,koeln,Deutschland,0,2,0,1
51149,koeln,Deutschland,5,7,3,7
51061,koeln,Deutschland,1,0,0,3
51103,koeln,Deutschland,0,2,1,4
51109,koeln,Deutschland,2,0,0,4
51105,koeln,Deutschland,3,2,2,4
51063,koeln,Deutschland,0,8,3,5
50667,koeln,Deutschland,0,0,2,0
50933,koeln,Deutschland,2,0,4,3
50999,koeln,Deutschland,1,0,1,1
50827,koeln,Deutschland,2,1,2,4
50739,koeln,Deutschland,1,1,5,4
50672,koeln,Deutschland,0,0,1,1
50859,koeln,Deutschland,1,0,0,5
50679,koeln,Deutschland,0,0,6,3
50939,koeln,Deutschland,0,0,2,0
50825,koeln,Deutschland,3,5,4,3
50737,koeln,Deutschland,0,0,0,1
50677,koeln,Deutschland,1,0,1,2
50996,koeln,Deutschland,2,0,1,5
50678,koeln,Deutschland,0,0,0,0
50670,koeln,Deutschland,0,0,2,1
50937,koeln,Deutschland,0,0,0,1
50858,koeln,Deutschland,3,0,2,8
50767,koeln,Deutschland,0,2,1,5
50676,koeln,Deutschland,0,0,2,2
50823,koeln,Deutschland,2,7,4,5
50735,koeln,Deutschland,1,6,0,9
50668,koeln,Deutschland,0,0,5,2
50969,koeln,Deutschland,1,5,2,5
50829,koeln,Deutschland,1,1,3,4
50765,koeln,Deutschland,0,0,0,0
50935,koeln,Deutschland,0,0,0,3
50769,koeln,Deutschland,0,0,0,0
50733,koeln,Deutschland,1,1,3,3
50674,koeln,Deutschland,0,0,0,1
50931,koeln,Deutschland,1,0,1,3
13599,berlin,Deutschland,3,7,3,7
13505,berlin,Deutschland,0,0,0,1
13595,berlin,Deutschland,0,0,2,3
10789,berlin,Deutschland,1,0,1,0
13597,berlin,Deutschland,2,2,5,6
13589,berlin,Deutschland,0,1,0,0
13503,berlin,Deutschland,2,1,0,3
13591,berlin,Deutschland,0,0,0,0
