,name,address,postcode,latitude,longitude
1,Star,"Heiligenseestraße 28, 13503 Berlin",13503,52.60183,13.24339
3,Shell,"Eichborndamm 91, 13403 Berlin",13403,52.5763,13.31452
5,Shell Berlin Scharnweberstr79/81.,"Scharnweberstraße 79/81, 13405 Berlin",13405,52.56771,13.30976
6,Shell Berlin Hermsdorfer Damm 141-143.,"Hermsdorfer Damm 141-143, 13467 Berlin",13467,52.61622,13.30069
7,Hager Autogas Service - Sven Hager,"Holzhauser Straße 158 a, 13509 Berlin",13509,52.58378,13.3162
8,JET,"Holzhauser Straße 34, 13509 Berlin",13509,52.57842,13.29909
9,Shell Berlin Ruppiner Chaussee.,"Ruppiner Chaussee 339, 13503 Berlin",13503,52.62073,13.23623
12,SPREVES-Station,"Hermsdorfer Damm 180.0, 13467 Berlin",13467,52.61938,13.30429
13,TotalEnergies Berlin Eichborndamm 91,"Eichborndamm 91, 13403 Berlin",13403,52.5763,13.31452
14,Star,"Oraniendamm 28, 13469 Berlin",13469,52.61103,13.31901
15,Hem Tankstelle,"Berliner Straße 140, 13467 Berlin",13467,52.61344,13.31529
17,JET,"Kurt-Schumacher-Damm 36, 13405 Berlin",13405,52.5611,13.3241
18,Aral,"Berliner Straße 24, 13507 Berlin",13507,52.5842,13.28789
20,Aral,"Berliner Straße 67, 13507 Berlin",13507,52.58157,13.29116
21,Hem Tankstelle,"Wittestraße 16, 13509 Berlin",13509,52.57757,13.30642
22,TotalEnergies Konradshöhe Habichtstraße,"Habichtstraße 11, 13505 Berlin",13505,52.586,13.2318
23,Esso,"Hermsdorfer Damm 221, 13467 Berlin",13467,52.62256,13.31228
24,Star,"Waidmannsluster Damm 54, 13509 Berlin",13509,52.59814,13.29876
25,Nord-Tanke LPG-Tankstelle,"Antonienstraße 34N, 13403 Berlin",13403,52.57735,13.31418
26,Tankstelle mit Geldausgabeautomat,"Hermsdorfer Damm 141-143, 13467 Berlin",13467,52.61595,13.30049
27,Tankstelle mit Geldausgabeautomat,"Ruppiner Chaussee 339, 13503 Berlin",13503,52.62074,13.2362
30,Tankstelle mit Geldausgabeautomat,"Scharnweberstraße 79-81, 13405 Berlin",13405,52.5662,13.31909
0,Star,"Hansastraße 220, 13051 Berlin",13051,52.55976,13.49662
1,Aral,"Roedernallee 179, 13407 Berlin",13407,52.57893,13.3464
2,TotalEnergies Niederschönhausen Wackenbergstraße,"Wackenbergstraße 2-6, 13156 Berlin",13156,52.5829,13.4043
3,TotalEnergies Berlin Wackenbergstr. 2-6,"Wackenbergstraße 2-6, 13156 Berlin",13156,52.58289,13.40428
4,Shell Berlin Berliner Str. 32.,"Berliner Straße 32, 13127 Berlin",13127,52.6011,13.43243
5,Hem Tankstelle,"Schönerlinder Straße 60-61, 13127 Berlin",13127,52.61324,13.4333
6,TotalEnergies Markstraße,"Markstraße 43-44, 13409 Berlin",13409,52.56263,13.36477
7,TotalEnergies Berlin Am Feuchten Winkel 11,"Am Feuchten Winkel 11, 13129 Berlin",13129,52.58205,13.43254
9,Hoyer Reinickendorf Kopenhagener Straße,"Kopenhagener Straße 36-58, 13407 Berlin",13407,52.57716,13.36154
10,Sprint Heinersdorf Blankenburger Straße,"Blankenburger Straße 96-99, 13089 Berlin",13089,52.5713,13.4427
11,Star Station,"Prenzlauer Promenade 70, 13089 Berlin",13089,52.56869,13.42825
12,Agip,"Dannenwalder Weg 69, 13439 Berlin",13439,52.59176,13.34678
13,Agip,"Dietzgenstraße 127, 13158 Berlin",13158,52.59438,13.40249
14,Aral,"Mühlenstraße 26, 13187 Berlin",13187,52.56383,13.40783
15,Shell Berlin Damerowstrasse.,"Damerowstraße 22/23, 13187 Berlin",13187,52.5729,13.42116
16,Autohaus Koschnick,"Gehringstraße 17-18, 13088 Berlin",13088,52.56247,13.46229
19,Shell Berlin Rothenbachstr.,"Rothenbachstraße 1, 13089 Berlin",13089,52.57153,13.42985
20,Star,"Malchower Chaussee 1, 13088 Berlin",13088,52.56601,13.4711
21,Star,"Prenzlauer Promenade 72-73, 13089 Berlin",13089,52.5692,13.42891
22,Star,"Berliner Allee 257, 13088 Berlin",13088,52.56081,13.46682
23,BarMalGas LPG-Tankstelle,"Bucher Straße 23, 13125 Berlin",13125,52.61794,13.45002
24,TotalEnergies Station,"Zepernicker Straße 9-10, 13125 Berlin",13125,52.64088,13.514
25,Parlak Mega Car Service,"Residenzstraße 62.0, 13409 Berlin",13409,52.5616,13.36684
26,Q1 Niederschönhausen Blankenburger Straße,"Blankenburger Straße 36-38, 13156 Berlin",13156,52.5818,13.4096
27,Aral,"Pasewalker Straße 110, 13127 Berlin",13127,52.58612,13.43021
28,Hem Tankstelle,"Prenzlauer Promenade 68, 13089 Berlin",13089,52.5679,13.42856
29,TotalEnergies BERLIN RIBNITZER STR,"Darßer Straße 42, 13051 Berlin",13051,52.56553,13.49171
30,Esso,"Wilhelmsruher Damm 160, 13435 Berlin",13435,52.59639,13.3472
31,SUN Oranienburger Straße Berlin,"Oranienburger Straße 181, 13437 Berlin",13437,52.59893,13.33198
32,TotalEnergies Weißensee Roelckestraße,"Roelckestraße 74-76, 13088 Berlin",13088,52.5623,13.4591
33,Esso,"Holländerstraße 52, 13407 Berlin",13407,52.56459,13.33564
34,Shell Berlin Ollenhauerstr.101.,"Ollenhauerstraße 101, 13403 Berlin",13403,52.57123,13.32903
36,Shell Berlin Oranienburger Str.,"Alt-Wittenau 61, 13437 Berlin",13437,52.58989,13.33464
37,Hem Tankstelle,"Straße vor Schönholz 3, 13158 Berlin",13158,52.57657,13.37864
38,Tamoil Straße vor Schönholz,"Straße vor Schönholz 2/3, 13158 Berlin",13158,52.57629,13.37861
39,Hem Tankstelle,"Romain-Rolland-Straße 2, 13089 Berlin",13089,52.56482,13.44885
40,TotalEnergies Berlin Zepernicker Str. 9-10,"Zepernicker Straße 9-10, 13125 Berlin",13125,52.64098,13.51427
41,Shell Berlin Karower Damm 35.,"Karower Damm 35, 13129 Berlin",13129,52.59673,13.46629
42,Sprint Reinickendorf Kapweg,"Kapweg, 13405 Berlin",13405,52.5618,13.3291
43,HEM Französisch Buchholz Schönerlinder Straße,"Schönerlinder Straße 3, 13127 Berlin",13127,52.6134,13.4334
44,Aral,"Residenzstraße 29, 13409 Berlin",13409,52.56821,13.3613
45,Bft Tankstelle,"Blankenburger Straße 36, 13156 Berlin",13156,52.5817,13.40999
46,Aral,"Scharnweberstraße 12-13, 13405 Berlin",13405,52.56337,13.32989
47,JET,"Hauptstraße 70 A, 13127 Berlin",13127,52.6036,13.4321
48,Hem Tankstelle,"Berliner Allee 320, 13088 Berlin",13088,52.56558,13.47246
49,Peter Lindner Vertrieb techn. Gase,"Bahnhofstraße 7.0, 13127 Berlin",13127,52.5948,13.43464
51,Tankstelle mit Geldausgabeautomat,"Karower Damm 35, 13129 Berlin",13129,52.59675,13.46653
52,Tankstelle mit Geldausgabeautomat,"Berliner Straße 32, 13127 Berlin",13127,52.60116,13.43247
53,Tankstelle mit Geldausgabeautomat,"Ollenhauerstraße 101, 13403 Berlin",13403,52.57095,13.32986
54,Tankstelle mit Geldausgabeautomat,"Rothenbachstraße 1, 13089 Berlin",13089,52.57165,13.42959
55,Tankstelle mit Geldausgabeautomat,"Damerowstraße 22-23, 13187 Berlin",13187,52.57288,13.42116
56,Tankstelle mit Geldausgabeautomat,"Oranienburger Straße 61-62, 13437 Berlin",13437,52.58994,13.33479
1,Agip,"Ahrensfelder Chaussee 152, 12689 Berlin",12689,52.57215,13.56503
0,Shell Berlin Spandauer Damm.,"Spandauer Damm 151, 14050 Berlin",14050,52.51914,13.27455
1,Aral,"Gartenfelder Straße 71, 13599 Berlin",13599,52.54365,13.24339
2,Aral,"Heerstraße 325, 13593 Berlin",13593,52.5164,13.17777
3,Star Spandau Brunsbütteler Damm,"Brunsbütteler Damm 82-102, 13581 Berlin",13581,52.5344,13.1844
4,Aral Avus,"Nordschleife, 14055 Berlin",14055,52.5019,13.27806
5,Star,"Kaiser-Friedrich-Straße 102, 10585 Berlin",10585,52.51733,13.30114
6,Star,"Gatower Straße 173, 13595 Berlin",13595,52.50476,13.18055
7,Tankstelle Götelstrasse,"Götelstraße 132-140, 13595 Berlin",13595,52.5228,13.2036
8,Tankstelle Sophie Charlotten Straße,"Sophie-Charlotten-Straße 5.0, 14059 Berlin",14059,52.522,13.2849
9,JET,"Charlottenburger Chaussee 47, 13597 Berlin",13597,52.5272,13.2343
10,Hem Tankstelle,"Saatwinkler Damm 62, 13627 Berlin",13627,52.54737,13.31012
11,Shell Berlin Kaiserdamm.,"Kaiserdamm 34, 14057 Berlin",14057,52.50999,13.27695
12,Esso Wilhelmstadt Ruhlebener Straße,"Ruhlebener Straße 183, 13597 Berlin",13597,52.5273,13.21089
13,Shell Berlin Kaiser-Friedr.Str95.,"Kaiser-Friedrich-Straße 95, 10585 Berlin",10585,52.51588,13.30137
14,Esso,"Hubertusallee 1-3, 14193 Berlin",14193,52.49431,13.28482
15,BAVARIA petrol Halensee Heilbronner Straße,"Heilbronner Straße 14-15, 10711 Berlin",10711,52.5018,13.2943
16,Aral,"Messedamm 6, 14057 Berlin",14057,52.50837,13.28064
17,Shell Berlin Hohenzollern- Damm.,"Hohenzollerndamm 41, 10713 Berlin",10713,52.48871,13.30667
18,Sprint Haselhorst Nonnendammallee,"Nonnendammallee 42.0, 13599 Berlin",13599,52.5376,13.2473
19,Sprint Wilmersdorf Mecklenburgische Straße,"Mecklenburgische Straße 76.0, 10713 Berlin",10713,52.4798,13.31241
20,Aral,"Kaiser-Friedrich-Straße 45B, 10627 Berlin",10627,52.50765,13.30172
21,Sprint Charlottenburg Kantstraße,"Kantstraße 126-127, 10625 Berlin",10625,52.50609,13.31204
22,CleanCar Spandau Charlottenburger Chaussee,"Charlottenburger Chaussee 51-55, 13597 Berlin",13597,52.52578,13.24086
23,Shell Berlin Heerstr. 326-328.,"Heerstraße 326-328, 13593 Berlin",13593,52.51707,13.1787
24,TotalEnergies Streitstraße Berlin,"Streitstraße 84, 13587 Berlin",13587,52.55459,13.20718
25,HEM Charlottenburg-Nord Saatwinkler Damm,"Saatwinkler Damm 62, 13627 Berlin",13627,52.5474,13.30985
26,Esso Wilmersdorf Bundesallee,"Bundesallee 176, 10715 Berlin",10715,52.4866,13.3315
