date,tavg,tsun,rain_days,day_without_rain,snow_days,days_without_snow,city,lat,lon
2017-01-01,0.5129032258064516,118.64516129032258,5,26,3,28,hamburg,53.550556,9.993333
2017-02-01,2.7535714285714286,110.35714285714286,6,22,0,28,hamburg,53.550556,9.993333
2017-03-01,7.135483870967741,260.1290322580645,8,23,0,31,hamburg,53.550556,9.993333
2017-04-01,7.4366666666666665,305.6,7,23,0,30,hamburg,53.550556,9.993333
2017-05-01,13.922580645161291,407.64516129032256,8,23,0,31,hamburg,53.550556,9.993333
2017-06-01,16.59,448.6,10,20,0,30,hamburg,53.550556,9.993333
2017-07-01,17.02258064516129,349.7096774193548,12,19,0,31,hamburg,53.550556,9.993333
2017-08-01,17.061290322580643,372.3225806451613,10,21,0,31,hamburg,53.550556,9.993333
2017-09-01,13.786666666666667,253.0,9,21,0,30,hamburg,53.550556,9.993333
2017-10-01,11.932258064516128,171.61290322580646,14,17,0,31,hamburg,53.550556,9.993333
2017-11-01,6.173333333333333,68.56666666666666,8,22,0,30,hamburg,53.550556,9.993333
2017-12-01,4.04516129032258,47.806451612903224,10,21,2,29,hamburg,53.550556,9.993333
2018-01-01,3.5387096774193547,53.903225806451616,13,18,3,28,hamburg,53.550556,9.993333
2018-02-01,-0.8714285714285713,268.75,2,26,7,21,hamburg,53.550556,9.993333
2018-03-01,2.0451612903225804,222.19354838709677,5,26,6,25,hamburg,53.550556,9.993333
2018-04-01,11.366666666666667,383.3333333333333,6,24,0,30,hamburg,53.550556,9.993333
2018-05-01,16.770967741935483,660.2903225806451,0,31,0,31,hamburg,53.550556,9.993333
2018-06-01,17.64333333333333,409.6666666666667,4,26,0,30,hamburg,53.550556,9.993333
2018-07-01,20.04516129032258,615.0645161290323,3,28,0,31,hamburg,53.550556,9.993333
2018-08-01,19.396774193548385,417.258064516129,6,25,0,31,hamburg,53.550556,9.993333
2018-09-01,15.223333333333333,348.53333333333336,2,28,0,30,hamburg,53.550556,9.993333
2018-10-01,11.43225806451613,299.258064516129,4,27,0,31,hamburg,53.550556,9.993333
2018-11-01,6.006666666666666,139.5,4,26,0,30,hamburg,53.550556,9.993333
2018-12-01,5.419354838709677,35.83870967741935,10,21,0,31,hamburg,53.550556,9.993333
2019-01-01,2.1870967741935483,83.48387096774194,8,23,9,22,hamburg,53.550556,9.993333
2019-02-01,5.289285714285714,245.71428571428572,2,26,0,28,hamburg,53.550556,9.993333
2019-03-01,7.019354838709678,148.93548387096774,12,19,0,31,hamburg,53.550556,9.993333
2019-04-01,9.85,516.3333333333334,1,29,0,30,hamburg,53.550556,9.993333
2019-05-01,11.14516129032258,366.1290322580645,5,26,0,31,hamburg,53.550556,9.993333
2019-06-01,19.063333333333333,545.0,8,22,0,30,hamburg,53.550556,9.993333
2019-07-01,18.070967741935487,358.4516129032258,4,27,0,31,hamburg,53.550556,9.993333
2019-08-01,18.97741935483871,436.3225806451613,6,25,0,31,hamburg,53.550556,9.993333
